sp:-0.37, pv:-0.74, o:2.52, s:57.00
sp:-0.37, pv:-0.79, o:-6.17, s:61.00
sp:-0.37, pv:-0.76, o:4.26, s:59.00
sp:-0.37, pv:-0.76, o:0.42, s:56.00
sp:-0.37, pv:-0.83, o:-12.51, s:67.00
sp:-0.36, pv:-0.82, o:-1.53, s:56.00
sp:-0.36, pv:-0.83, o:-5.19, s:60.00
sp:-0.36, pv:-0.82, o:-2.92, s:57.00
sp:-0.36, pv:-0.81, o:-1.73, s:56.00
sp:-0.36, pv:-0.78, o:0.38, s:56.00
sp:-0.36, pv:-0.78, o:-2.78, s:57.00
sp:-0.36, pv:-0.71, o:9.22, s:64.00
sp:-0.36, pv:-0.64, o:12.63, s:67.00
sp:-0.37, pv:-0.52, o:26.03, s:80.00
sp:-0.37, pv:-0.43, o:26.08, s:80.00
sp:-0.37, pv:-0.36, o:27.01, s:81.00
sp:-0.37, pv:-0.36, o:18.45, s:72.00
sp:-0.37, pv:-0.23, o:40.82, s:93.00
sp:-0.38, pv:-0.23, o:25.16, s:79.00
sp:-0.38, pv:-0.07, o:53.85, s:106.00
sp:-0.38, pv:-0.12, o:24.59, s:78.00
sp:-0.38, pv:-0.08, o:38.55, s:91.00
sp:-0.38, pv:-0.17, o:18.60, s:72.00
sp:-0.39, pv:-0.17, o:29.63, s:83.00
sp:-0.39, pv:-0.22, o:21.31, s:75.00
sp:-0.39, pv:-0.22, o:27.60, s:81.00
sp:-0.39, pv:-0.22, o:27.12, s:81.00
sp:-0.39, pv:-0.18, o:34.29, s:88.00
sp:-0.40, pv:-0.17, o:32.27, s:86.00
sp:-0.40, pv:-0.15, o:33.67, s:87.00
sp:-0.40, pv:-0.15, o:31.89, s:85.00
sp:-0.40, pv:-0.18, o:27.85, s:81.00
sp:-0.40, pv:-0.14, o:38.38, s:91.00
sp:-0.41, pv:-0.23, o:17.14, s:72.00
sp:-0.41, pv:-0.23, o:29.72, s:83.00
sp:-0.41, pv:-0.29, o:18.58, s:72.00
sp:-0.41, pv:-0.33, o:18.95, s:72.00
sp:-0.41, pv:-0.33, o:24.45, s:78.00
sp:-0.42, pv:-0.36, o:19.06, s:73.00
sp:-0.42, pv:-0.39, o:17.72, s:72.00
sp:-0.42, pv:-0.41, o:19.42, s:73.00
sp:-0.42, pv:-0.43, o:16.54, s:71.00
sp:-0.42, pv:-0.49, o:10.33, s:65.00
sp:-0.43, pv:-0.49, o:17.22, s:72.00
sp:-0.43, pv:-0.57, o:2.56, s:57.00
sp:-0.43, pv:-0.57, o:12.96, s:67.00
sp:-0.43, pv:-0.67, o:-4.54, s:59.00
sp:-0.43, pv:-0.70, o:2.23, s:57.00
sp:-0.43, pv:-0.75, o:-2.30, s:57.00
sp:-0.43, pv:-0.76, o:2.37, s:57.00
sp:-0.43, pv:-0.76, o:2.93, s:57.00
sp:-0.43, pv:-0.85, o:-13.24, s:68.00
sp:-0.43, pv:-0.85, o:-3.30, s:58.00
sp:-0.43, pv:-0.89, o:-8.97, s:63.00
sp:-0.43, pv:-0.90, o:-6.75, s:61.00
sp:-0.43, pv:-0.92, o:-10.00, s:65.00
sp:-0.43, pv:-0.93, o:-9.14, s:64.00
sp:-0.43, pv:-0.93, o:-8.15, s:63.00
sp:-0.43, pv:-0.75, o:23.61, s:77.00
sp:-0.43, pv:-0.64, o:19.81, s:73.00
sp:-0.43, pv:-0.46, o:38.20, s:91.00
sp:-0.43, pv:-0.36, o:33.79, s:87.00
sp:-0.43, pv:-0.30, o:30.43, s:84.00
sp:-0.44, pv:-0.30, o:23.83, s:77.00
sp:-0.44, pv:-0.16, o:48.13, s:101.00
sp:-0.44, pv:-0.16, o:31.23, s:85.00
sp:-0.44, pv:-0.15, o:33.36, s:87.00
sp:-0.44, pv:-0.19, o:25.62, s:79.00
