kps 0.3
kis 0.7

kpp 30
kip 120
kdp 0.5

pitch set point, pitch, speed set point, speed, filtered speed
0.64, 0.54, 0.00, -1.00, -0.83
0.64, 0.55, 0.00, -1.50, -0.83
0.65, 0.54, 0.00, -1.50, -0.84
0.65, 0.53, 0.00, -1.00, -0.85
0.66, 0.51, 0.00, -1.50, -0.87
0.67, 0.59, 0.00, -1.00, -0.89
0.68, 0.68, 0.00, -1.50, -0.90
0.68, 0.68, 0.00, -0.50, -0.92
0.69, 0.74, 0.00, 0.00, -0.94
0.69, 0.74, 0.00, 0.00, -0.94
0.69, 0.67, 0.00, 0.00, -0.93
0.69, 0.67, 0.00, 0.00, -0.92
0.69, 0.68, 0.00, -0.50, -0.90
0.69, 0.68, 0.00, 0.00, -0.88
0.68, 0.64, 0.00, -0.50, -0.85
0.67, 0.64, 0.00, -0.50, -0.82
0.67, 0.62, 0.00, -0.50, -0.80
0.66, 0.59, 0.00, -1.00, -0.77
0.66, 0.55, 0.00, -1.50, -0.75
0.66, 0.56, 0.00, -0.50, -0.74
0.66, 0.56, 0.00, -1.00, -0.73
0.66, 0.63, 0.00, -1.00, -0.72
0.66, 0.65, 0.00, -1.50, -0.72
0.66, 0.67, 0.00, -0.50, -0.72
0.66, 0.70, 0.00, 0.00, -0.72
0.66, 0.70, 0.00, 0.00, -0.72
0.66, 0.66, 0.00, 1.00, -0.70
0.66, 0.66, 0.00, 0.00, -0.68
0.65, 0.61, 0.00, 0.50, -0.65
0.64, 0.58, 0.00, -0.50, -0.62
0.63, 0.55, 0.00, 0.00, -0.58
0.62, 0.52, 0.00, -1.00, -0.55
0.62, 0.50, 0.00, -0.50, -0.52
0.61, 0.50, 0.00, -1.00, -0.50
0.61, 0.47, 0.00, -1.00, -0.49
0.61, 0.47, 0.00, -0.50, -0.48
0.61, 0.68, 0.00, -1.00, -0.48
0.61, 0.78, 0.00, -1.00, -0.48
0.61, 0.84, 0.00, 0.00, -0.48
0.61, 0.86, 0.00, 0.50, -0.48
0.61, 0.86, 0.00, 0.50, -0.47
0.61, 0.80, 0.00, 1.00, -0.45
0.60, 0.80, 0.00, 1.00, -0.42
0.59, 0.81, 0.00, 1.00, -0.38
0.58, 0.81, 0.00, 1.00, -0.33
0.56, 0.77, 0.00, 1.00, -0.28
0.54, 0.78, 0.00, 1.00, -0.22
0.53, 0.78, 0.00, 0.00, -0.17
0.51, 0.63, 0.00, 1.00, -0.11
0.49, 0.53, 0.00, 1.00, -0.05
0.48, 0.43, 0.00, 0.00, 0.01
0.46, 0.40, 0.00, 0.00, 0.06
0.45, 0.42, 0.00, -0.50, 0.10
0.44, 0.40, 0.00, -0.50, 0.14
0.43, 0.40, 0.00, -0.50, 0.16
0.42, 0.31, 0.00, -1.00, 0.17
0.42, 0.25, 0.00, 0.00, 0.18
0.42, 0.20, 0.00, -1.00, 0.17
0.43, 0.20, 0.00, -1.00, 0.16
0.43, 0.33, 0.00, 0.00, 0.14
0.44, 0.33, 0.00, -0.50, 0.12
0.44, 0.44, 0.00, 0.00, 0.10
0.45, 0.44, 0.00, 0.50, 0.08
0.45, 0.36, 0.00, 0.00, 0.06
0.46, 0.30, 0.00, 0.00, 0.05
0.46, 0.27, 0.00, 0.00, 0.04
0.46, 0.27, 0.00, -0.50, 0.03
0.47, 0.27, 0.00, -1.00, 0.01
0.48, 0.28, 0.00, -1.00, -0.01
0.48, 0.26, 0.00, -1.00, -0.04
0.49, 0.22, 0.00, -1.00, -0.07
0.51, 0.33, 0.00, -1.00, -0.11
0.52, 0.43, 0.00, -1.00, -0.15
0.53, 0.53, 0.00, 0.00, -0.19
0.54, 0.53, 0.00, 0.00, -0.23
0.55, 0.53, 0.00, 0.50, -0.26
0.56, 0.49, 0.00, 0.00, -0.27
0.56, 0.44, 0.00, 0.00, -0.29
0.57, 0.44, 0.00, -0.50, -0.30
0.57, 0.44, 0.00, -1.00, -0.31
0.58, 0.44, 0.00, 0.00, -0.32
0.58, 0.44, 0.00, -2.00, -0.34
0.59, 0.44, 0.00, -0.50, -0.36
0.60, 0.45, 0.00, -1.50, -0.38
0.61, 0.60, 0.00, -0.50, -0.41
0.62, 0.67, 0.00, -0.50, -0.43
0.62, 0.78, 0.00, 0.00, -0.46
0.63, 0.78, 0.00, 0.00, -0.47
0.63, 0.76, 0.00, 1.00, -0.48
0.63, 0.76, 0.00, 1.00, -0.48
0.63, 0.73, 0.00, 1.00, -0.46
0.62, 0.75, 0.00, 0.50, -0.43
0.61, 0.77, 0.00, 0.50, -0.40
0.60, 0.74, 0.00, 0.50, -0.36
0.59, 0.74, 0.00, 0.50, -0.32
0.58, 0.74, 0.00, 0.50, -0.27
0.57, 0.69, 0.00, 0.00, -0.23
0.55, 0.68, 0.00, 0.50, -0.19
0.54, 0.65, 0.00, 0.00, -0.14
0.53, 0.65, 0.00, 0.00, -0.11
0.52, 0.65, 0.00, 0.00, -0.07
0.51, 0.65, 0.00, 0.00, -0.04
0.50, 0.60, 0.00, 0.50, -0.01
0.49, 0.59, 0.00, 0.00, 0.01
0.49, 0.58, 0.00, 0.50, 0.04
0.48, 0.55, 0.00, 0.50, 0.06
0.47, 0.56, 0.00, 0.00, 0.09
0.46, 0.56, 0.00, 0.00, 0.11
0.46, 0.52, 0.00, 0.50, 0.13
0.45, 0.52, 0.00, 0.00, 0.15
0.45, 0.52, 0.00, 0.50, 0.16
0.44, 0.50, 0.00, 0.00, 0.18
0.44, 0.51, 0.00, 1.00, 0.19
0.43, 0.49, 0.00, 0.00, 0.21
0.43, 0.49, 0.00, 0.00, 0.22
0.42, 0.49, 0.00, 0.50, 0.23
0.42, 0.49, 0.00, 0.00, 0.24
0.42, 0.48, 0.00, 0.50, 0.25
0.41, 0.50, 0.00, 1.00, 0.26
0.41, 0.49, 0.00, 0.00, 0.27
0.40, 0.44, 0.00, 1.00, 0.29
0.40, 0.44, 0.00, 0.50, 0.30
0.39, 0.40, 0.00, 0.50, 0.32
0.39, 0.39, 0.00, 1.00, 0.33
0.38, 0.44, 0.00, 0.00, 0.35
0.38, 0.43, 0.00, 0.00, 0.36
0.37, 0.41, 0.00, 0.50, 0.37
0.37, 0.41, 0.00, 0.00, 0.38
0.37, 0.41, 0.00, 0.00, 0.38
0.37, 0.41, 0.00, 0.00, 0.38
0.37, 0.42, 0.00, 0.50, 0.38
0.37, 0.44, 0.00, 0.50, 0.38
0.36, 0.45, 0.00, 0.50, 0.38
0.36, 0.51, 0.00, 1.00, 0.38
0.36, 0.51, 0.00, 1.00, 0.38
0.36, 0.39, 0.00, 0.00, 0.39
0.35, 0.39, 0.00, 0.50, 0.40
0.35, 0.28, 0.00, 0.00, 0.41
0.35, 0.30, 0.00, 1.00, 0.41
0.35, 0.35, 0.00, 0.00, 0.41
0.34, 0.34, 0.00, 0.00, 0.42
0.34, 0.34, 0.00, 0.00, 0.41
0.34, 0.31, 0.00, 0.00, 0.41
0.35, 0.29, 0.00, 0.00, 0.40
0.35, 0.29, 0.00, 0.00, 0.39
0.35, 0.29, 0.00, -0.50, 0.37
0.36, 0.28, 0.00, -0.50, 0.35
0.36, 0.28, 0.00, -1.00, 0.33
0.37, 0.28, 0.00, -0.50, 0.29
0.38, 0.31, 0.00, -1.00, 0.26
0.40, 0.39, 0.00, -0.50, 0.21
0.41, 0.45, 0.00, -0.50, 0.17
0.42, 0.49, 0.00, 0.00, 0.12
0.43, 0.44, 0.00, 0.50, 0.08
0.44, 0.44, 0.00, 0.00, 0.05
0.45, 0.44, 0.00, 0.50, 0.02
0.46, 0.44, 0.00, 0.00, 0.00
0.46, 0.44, 0.00, 0.00, -0.01
0.47, 0.41, 0.00, -0.50, -0.03
0.47, 0.39, 0.00, -0.50, -0.05
0.48, 0.39, 0.00, -0.50, -0.06
0.48, 0.39, 0.00, -0.50, -0.09
0.49, 0.37, 0.00, -0.50, -0.11
0.50, 0.34, 0.00, -1.00, -0.13
0.51, 0.40, 0.00, -1.00, -0.16
0.52, 0.49, 0.00, -1.00, -0.19
0.53, 0.53, 0.00, 0.00, -0.22
0.54, 0.57, 0.00, 0.00, -0.25
0.54, 0.57, 0.00, 0.50, -0.27
0.55, 0.55, 0.00, 1.00, -0.29
0.55, 0.50, 0.00, 0.50, -0.29
0.55, 0.49, 0.00, 0.50, -0.28
0.54, 0.48, 0.00, 0.50, -0.26
0.54, 0.47, 0.00, -0.50, -0.24
0.54, 0.47, 0.00, -0.50, -0.23
0.53, 0.45, 0.00, -0.50, -0.22
